instance_id	condition	position	resolved	test_fraction	patch_applied	eval_run_id	timed_out	protocol_status	delegation_completed	delegation_spawned	delegations	delegation_prompt_chars_total	wall_seconds	unique_assistant_messages	num_turns_reported	assistant_events	tool_calls_total	token_status	token_complete	total_tokens	output_tokens	input_tokens	cache_read_input_tokens	cache_creation_input_tokens	cost_usd_reported	patch_bytes	network_enforced
django__django-13449	multi	1	True	1.0	True	main-v4prompt-v1-multi	False	pass	1	1	1	4674	284.413421986	48	7	87	45	complete	True	1564528	22156	3278	1474135	64959	0.7105475000000002	3925	True
django__django-16938	multi	8	True	1.0	True	main-v4prompt-v1-multi	False	pass	1	1	1	2500	169.7461464170001	35	5	78	40	complete	True	1076845	11638	2291	1001871	61045	0.49270470000000005	4223	True
matplotlib__matplotlib-25775	multi	12	False	0.9791666666666666	True	main-v4prompt-v1-multi	False	pass	2	2	2	8665	309.14324611900065	75	13	155	85	complete	True	2545765	27982	1262	2424996	91525	1.0507627000000002	4354	True
pydata__xarray-6938	multi	11	False	0.9976798143851509	True	main-v4prompt-v1-multi	False	pass	1	1	1	2566	448.9442451539999	65	1	134	69	complete	True	2537738	25681	2132	2435019	74906	0.9942702999999997	2066	True
pydata__xarray-6992	multi	2	False	0.987460815047022	True	main-v4prompt-v1-multi	False	pass	1	1	1	3295	132.94832344099996	22	3	42	19	complete	True	539369	7451	1460	504051	26407	0.2634407	1533	True
pylint-dev__pylint-4551	multi	4	False	0.0	True	main-v4prompt-v1-multi	False	pass	2	2	2	14666	791.9612538000001	75	37	151	82	complete	True	3855279	52478	1363	3643878	157560	1.7470791000000003	10703	True
pylint-dev__pylint-8898	multi	3	False	0.9473684210526315	True	main-v4prompt-v1-multi	False	pass	1	1	1	4383	331.060192446	53	10	104	53	complete	True	1921816	20340	2203	1838092	61181	0.7566419	5225	True
pytest-dev__pytest-5787	multi	7	True	1.0	True	main-v4prompt-v1-multi	False	pass	1	1	1	5788	490.1865680269998	51	14	95	51	complete	True	2580574	30537	2016	2446582	101439	1.0921469	11857	True
scikit-learn__scikit-learn-25102	multi	5	True	1.0	True	main-v4prompt-v1-multi	False	pass	1	1	1	2464	399.26682611000024	37	31	70	38	complete	True	1729119	27290	1668	1626354	73807	0.8599948000000001	6141	True
sphinx-doc__sphinx-7757	multi	10	True	1.0	True	main-v4prompt-v1-multi	False	pass	1	1	1	4457	161.68839300400032	27	3	49	26	complete	True	734540	13260	1218	681976	38086	0.38875769999999993	2570	True
sphinx-doc__sphinx-8551	multi	9	True	1.0	True	main-v4prompt-v1-multi	False	pass	1	1	1	3979	571.8448234580001	93	8	176	92	complete	True	4852498	36201	1800	4714831	99666	1.5902901999999997	3015	True
sympy__sympy-15017	multi	6	False	0.9333333333333333	True	main-v4prompt-v1-multi	False	pass	1	1	1	2569	286.7612438670003	54	5	98	53	complete	True	1991619	22729	1372	1907668	59850	0.7814706	5273	True
